0+4,2;0+4,2;0+4,2;0+4,2;0+4,2;4,1;4,1;4,1;4,1;4,2;4,1;4,1;0+4,2;4,1;4,1;4,2;4,1;0+4,2;7,2;4,1;4,1;0+4,2;4,1;4,1;4,1;0+4,2;0+4,2;0+4,2;0+4,2
0+4,2;0+4,2;0+4,2;0+4,2;0+4,2;4,1;4,1;4,1;4,1;4,2;4,1;7,2;0+4,2;0+4,2;4,1;6,2;6,1;4,1;4,1;0+4,2;0+4,2;4,1;7,2;4,1;4,1;4,1;0+4,2;0+4,2;0+4,2
0+4,2;0+4,2;0+4,2;4,1;7,2;4,1;4,1;4,1;0+4,2;4,2;4,1;0+4,2;4,1;4,1;4,1;7,1;5,2;4,1;2,0;3,1;3,1;3,1;3,1;3,1;3,0;4,1;4,1;4,1;0+4,2
0+4,2;4,1;7,1;5,1;5,1;5,1;5,1;5,1;5,1;5,2;4,1;1,0;3,1;3,1;3,1;7,0;3,1;3,1;2,1;4,1;4,1;4,1;0+4,2;4,1;3,1&1;4,1;4,1;4,1;4,1
4,1;4,1;4,2;4,1;4,1;4,1;0+4,2;4,1;4,1;4,1;4,1;3,1&1;7,2;4,1;4,1;4,2;4,1;4,1;4,1;4,1;0+4,2;4,1;4,1;4,1;3,1&1;4,1;4,1;4,1;4,1
4,1;7,2;4,2;6,0;3,1;3,1;3,1;3,1;0,0;3,1;3,1;2,1;4,1;0+4,2;7,1;5,2;4,1;4,1;0+4,2;4,1;0+4,2;0+4,2;0+4,2;4,1;4,0;4,1;4,1;7,2;4,1
7,2;4,1;6,2;6,1;4,1;0+4,2;4,1;4,1;4,1;4,1;4,1;4,1;4,1;4,1;6,2;5,1;5,1;6,1;4,1;0+4,2;0+4,2;0+4,2;4,1;4,1;3,1&1;4,1;4,1;4,1;4,1
4,1;4,1;7,2;4,2;4,1;4,1;4,1;0+4,2;4,1;7,2;4,1;4,1;0+4,2;0+4,2;4,1;4,1;4,1;4,2;4,1;4,1;0+4,2;4,1;0+4,2;4,1;3,1&1;4,1;7,2;7,2;4,1
7,2;4,1;4,1;6,2;5,1;5,1;6,1;4,1;4,1;0+4,2;0+4,2;4,1;4,1;4,1;4,1;0+4,2;4,1;4,2;0+4,2;4,1;4,1;4,1;4,1;7,2;5,0;7,2;0+4,2;4,1;7,2
4,1;7,2;4,1;4,1;4,1;7,2;4,2;4,1;4,1;0+4,2;0+4,2;4,1;7,2;4,1;4,1;4,1;4,1;4,2;4,1;0+4,2;4,1;7,2;0+4,2;4,1;7,2;4,1;4,1;0+4,2;4,1
